Source,Content,L1,L2
Non Owned,Lê Dương Bảo Lâm - HIEUTHUHAI: Ngoài mặt hơn thua nhưng liên tục đồng hành trong loạt dự án đình đám,Others,Brand Ambassodors
Non Owned,VNPT dc may hom muot gio lai lag fb shopee r co bac nao bi ko ? kv sai gon,Feature,App performance
Google Play,"3 sao nha,giao hàng khá chậm,hàng khá kém chất lượng nhưng đc cái rẻ. 3🌟🌟🌟",Delivery,Delivery time
Google Play,Bỏ ngay cái kiểu thanh toán bằng thẻ Đeo có thẻ thì tt kiểu mẹ j,Payment,ShopeePay
Google Play,Yêu cầu shopee ko spam quảng cáo,Commercial,Promotions
Google Play,Tài khoản bị xoá vĩnh diễn hoài đơn hàng bị hủy lun,Shopee account,Banned/blocked
Owned,"Khi bạn là đứa đu bo góc kiểu...Ở đây ai đi bo góc ko ạ??. Shopee gì cũng có luôn nhé P/s: mua card trên Shopee thì các bạn nhớ để chọn những shop bán giá tiền như thị trường nhé,có nhiều shop trên Shopee bán hơi đôn á.(có thể tham khảo shop t mua)",Commercial,Items/price
Google Play,Lỗi,Feature,App performance
Google Play,Dạo này lỗi rất nhiều và hay cập nhật,Feature,App performance
Google Play,Càng ngày càng tệ vừa lag mà vừa đặt đồ khó khăn kiểu này kh ai mua nữa đâu,Feature,App performance
Owned,"#ShopeeLive1111 #SieuDealNuaGia Tên sản phẩm Deal Nửa Giá muốn săn là: Serum dưỡng sáng mờ thâm nám L'Oreal Paris Glycolic Bright 1.0% Glycolic Acid (AHA) Nhận xét về chương trình: 2 MC duyên dáng, khách mời là chị Thu Thủy dễ thương thân thiện nè. Thích nhất vẫn là voucher 50k đơn 0đ dành cho người mới và nhận 400x. Quá đã 😘😘",Commercial,Promotions
Google Play,De ruước gseướ22d thì ai thì 6r se dđược thế(z scAG,Others,Cannot defined
Google Play,Đặt đơn hàng ở cùng tp Hà Nội mà cả tuần chưa giao. Shoppee không cho khách hàng chọn dvvc mà ép mặc định chọn dvvc của shopee giao hàng quá chậm. Làm cả khách hàng cả nhà bán hàng bực bội.,Delivery,Delivery time
Google Play,Chính sách hoàn trả mới phục vụ cho việc ăn cắp. Nếu không cải thiện ngay thì shopee sẽ có ngày bị sập.,Return/Refund,Dispute
Google Play,Nhập sđt vào xác minh xong bị lỗi không mua được chán shoppe,Shopee account,Account security
Google Play,T bị khóa tài khoản một cách vô lí mong shopee rút kinh nghiệm về vấn đề này >:((( má nó..,Shopee account,Banned/blocked
Google Play,Tệ vl,Others,Cannot defined
Google Play,cải thiện app!!!! 🙏 dùng 10p thì giật lag hết 8p =)))),Feature,App performance
Non Owned,Ủa rồi là đang giao chưa mn,Delivery,Delivery status/info
Non Owned,🧡[HÀ NỘI] Khởi đầu mới tại Shopee People Team 🤩 Chúng mình vẫn đang tìm kiếm những đồng đội mới đầy nhiệt huyết để cùng hỗ trợ sự phát triển nhanh chóng của Shopee 💪 👉Nếu bạn: ✅Có niềm đam mê làm việc với con người ✅Mong muốn phát triển sự nghiệp trong ngành Nhân sự ✅Yêu thích môi trường phát triển nhanh và năng động của Thương mại điện tử 👉👉👉 Shopee People Team chính là điểm đến phù hợp dành cho bạn đấy! Gia nhập nhà Cam và cùng chúng mình phát triển sự nghiệp của bạn nhé! 😍🧡  🎀 Ứng tuyển ngay tại đây nào:  Shopee Express – Mass Recruiter (Hà Nội): https://careers.shopee.vn/job-detail/1565,Others,Branding
Google Play,"Vì ko check kỹ mình đã bấm nhận được hàng, h mở ra dùng đồ đã ko tốt còn mất tiền oan. Cơ chế hoàn tiền của shopee có thể nói là chưa thực sự hữu dụng",Feature,UI
Non Owned,"VIỆC LÀM TRÊN NỀN TẢNG SHOPEE, TIKI, LAZADA [VNE ECOMMERCE] TUYỂN DỤNG HỌC VIÊN SÀN THƯƠNG MẠI ĐIỆN TỬ ✔Không yêu cầu kinh nghiệm, được đào tạo từ đầu và thực chiến ngay ✔Cơ hội học hỏi, phát triển bản thân, tìm hiểu sâu hơn về Marketing ✔Làm việc trong môi trường trẻ trung năng động, được phát huy hết khả năng của bản thân ✔Hỗ trợ lương học viên 3,5tr/tháng. Lên chính thức thu nhập trung bình 9-10tr là bình thường Hứng thú gửi CV qua mail: trangnth.hr@vnegroup.vn Hoặc ib mình nhé!",Others,Cannot defined
Google Play,Ăn cướp của người bán quá nhiều. Tạo điều kiện cho người mua ăn cắp hàng. Shopee tự lấy tiền của shop cho khách. Ăn cướp trắng trợn. Trả lại tiền cho chúng tôi.,Return/Refund,Dispute
Google Play,10 đ,Others,Cannot defined
Google Play,"Đang bình thường tự nhiên tài khoản bị đăng xuất và ko vào lại đc, chỉ mong là 8 đơn hàng đang chờ đc giao tới tay, sau khi lập tài khoản mới thì shoppee liên tục bị lỗi và lại tự đăng xuất thêm mấy lần. Mong phía nhà sản xuất xem xét lại ứng dụng.",Shopee account,Sign up/Log in
Google Play,"Kiếm tiền 𝗞 cần vốn, vay 𝗞 lãi thì vào trang mình 🥰",Others,Cannot defined
Non Owned,"- Bộ đôi smartphone cao cấp Xiaomi 12T và Xiaomi 12T Pro đã chính thức được ra mắt cùng hệ thống camera mới nhất của hãng. Trong đó, Xiaomi 12T Pro được trang bị công nghệ điện ảnh cao cấp với camera lên đến 200MP. Hình ảnh sắc nét từ camera di động 200MP chuyên nghiệp đầu tiên tại Việt Nam Cả hai chiếc flagship Xiaomi 12T Series đều được trang bị camera chuyên nghiệp mang đến cho người dùng trải nghiệm đặc biệt khi chụp ảnh trên smartphone. Xiaomi 12T Pro nổi bật với camera 200MP giúp người dùng tạo nên những tấm ảnh chụp sắc nét nhờ phần cứng mạnh mẽ và các thuật toán AI tiên tiến. Kết hợp với những tính năng tối ưu hóa khác, người dùng sẽ dễ dàng ghi lại những khoảnh khắc ngẫu nhiên trong ngày mà không bị mất nét, đặc biệt trong điều kiện ánh sáng yếu hoặc khi chụp các đối tượng chuyển động nhanh. Ngoài ra, tính năng zoom 2x cảm biến khi tận dụng khả năng từ cảm biến kích thước lớn 1/1.22” sẽ cho ra những tấm ảnh chân dung sắc nét và cực kỳ lý tưởng. Xiaomi 12T Pro thách thức sự sáng tạo với Xiaomi ProCut và Ultra burst - trình cắt ảnh thông minh và tạo nội dung chuyên nghiệp. Chiếc flagship đồng thời hỗ trợ video 8K ở độ phân giải đầy đủ, “mở khóa” khả năng sáng tạo làm phim của người dùng. Trong khi đó, Xiaomi 12T được trang bị cụm 03 camera: camera chính 108MP chuyên nghiệp được hỗ trợ chống rung OIS, camera siêu rộng 8MP và camera macro 2MP. Chế độ low-light (chụp trong tối) tạo nên những bức ảnh sắc nét và tươi sáng ngay cả trong những điều kiện không lý tưởng. Hiệu năng đỉnh cao, trải nghiệm cực “mê"" Xiaomi 12T Pro được trang bị bộ vi xử lý Snapdragon tốt nhất với quy trình sản xuất TSMC 4nm hàng đầu, giúp tăng cường đáng kể hiệu suất của CPU và GPU lần lượt là và 11% so với Snapdragon 8 thế hệ 1, đồng thời giảm mức tiêu thụ điện năng của mỗi loại xuống 33% và 30%1. Được trang bị hệ thống tản nhiệt bao gồm một khoang chứa hơi lớn hơn 65% với độ phủ vật liệu nhiệt cao hơn 125% so với Xiaomi 11T Pro, Xiaomi 12T Series mang đến trải nghiệm mượt mà và tiết kiệm điện năng mà không lo bị quá tải nhiệt. Xiaomi 12T được trang bị chipset hàng đầu của MediaTek - MediaTek Dimensity 8100-Ultra với quy trình sản xuất TSMC 5nm. Chipset này được nâng cấp hoàn toàn với cấu trúc GPU hoàn toàn mới, tăng hiệu suất và hiệu suất năng lượng lên đến 30% so với dòng máy tiền nhiệm, cũng như tốc độ xung nhịp, bộ nhớ cache và lưu trữ. Nhờ đó, trải nghiệm người dùng được nâng cấp nhanh hơn1. Dù chụp ảnh, quay video, xem phim hay lướt mạng xã hội, Xiaomi 12T đều tự hào mang lại hiệu suất cao nhất cho tất cả những khoảnh khắc yêu thích của bạn. Bên cạnh đó, Kiến trúc mở mã nguồn mới được MediaTek trang bị trên chipset Dimensity 8100 Ultra mang đến tính năng quay video khử nhiễu độc quyền Ultra Night Video trên Xiaomi 12T giúp người dùng thoải mái sáng tạo ra những video sắc nét và độc đáo dù trong điều kiện thiếu sáng. Không bỏ lỡ bất kỳ khoảnh khắc nào với Pin lớn suốt cả ngày và sạc siêu tốc Xiaomi 12T Series cung cấp thời lượng pin đáng kinh ngạc cộng với khả năng sạc nhanh đặc biệt. Cả hai điện thoại đều có pin lớn 5.000mAh và có công suất 120W HyperCharge. Cả hai đều có thể được sạc đến 100% nhanh nhất trong vòng 19 phút và thời gian sử dụng lên đến 13,5 giờ. Ngoài ra, với Xiaomi AdaptiveCharge, các thiết bị sẽ theo dõi thói quen sạc hàng ngày của người dùng để tối ưu hóa tuổi thọ của pin Được hỗ trợ bởi thời lượng pin ấn tượng và sạc siêu nhanh của Xiaomi, người dùng có thể tự tin đi bất cứ đâu, làm bất cứ điều gì và không bao giờ bỏ lỡ một khoảnh khắc nào. Thiết kế của Xiaomi 12T Series mang tính thời thượng với ba màu Đen, Bạc và Xanh dương. Mặt sau của máy với đường cong được làm mờ giúp tiết chế in hằng dấu vân tay. Kích thước nhỏ gọn của máy tạo cảm giác thoải mái cầm nắm trên tay. Từ ngày 04/10 - 12/10/2022, người dùng đặt trước bộ đôi Xiaomi 12T Series có thể nhận ngay Máy lọc không khí Xiaomi Smart Air Purifier 4 Lite trị giá 3,99 triệu đồng hoặc Chương trình thu cũ đổi mới 2.000.000 VNĐ cùng nhiều ưu đãi hấp dẫn khi đặt trước bộ đôi Xiaomi 12T Series trong khoảng thời gian này Xiaomi 12T Series chính thức mở bán từ ngày 13 tháng 10 tại các hệ thống cửa hàng Bán lẻ hàng đầu Thế giới Di động, FPTShop, Viettel Store, CellphoneS, Xiaomi Store, Hoàng Hà Mobile, Di động Việt, Di động thông minh, Siêu thị điện máy Chợ lớn và các trang thương mại điện tử hàng đầu Shopee và Lazada. Xiaomi 12T có hai phiên bản: 8GB + 128GB sở hữu mức giá 12,49 triệu đồng và 8GB + 256GB sở hữu mức giá 12,99 triệu đồng. Xiaomi 12T Pro phiên bản: 8GB + 128GB sở hữu mức giá 16,99 triệu đồng. Phạm Lê",Others,Cannot defined
Google Play,càng cập nhật càng lag vd. mà chỗ mấy trò chơi thì đấy đứa dùng phần mềm bên thứ 3 để hack trò chơi bao lâu nay không fix lại đi đến nản.,Feature,App performance
Non Owned,"Bông tẩy trang Tippys có tốt, an toàn không? Giá bao nhiêu?",Others,Cannot defined
Google Play,Sao ko lm trang trên web cứ bắt phải tải app ?,Others,Cannot defined
Google Play,"Shope hiện nay toàn là mấy thứ đơn hàng lừa dối không vậy, không thể chấp nhận thực hiện được như giá họ đã đăng lên giá nào thì giá đó, đừng có để chúng tôi mà không thể nhận được, cấm mấy cái thứ đơn hàng giả danh giá nào thì ra giá đấy để chúng tôi mà lựa chọn đúng sản phẩm là được.",Others,Cannot defined
Google Play,Có voucher mà sài thì ko hợp lệ,Feature,Apply Voucher
Non Owned,Làm sao ngăn bán hàng online né thuế?,Others,Seller
Google Play,"Tài khoản mới tạo không mua được hàng, không giới thiệu được bạn bè",Feature,Cart & Order
Google Play,Có thêm chức năng xóa lịch sử mua hàng thì tốt,Feature,Feature Others
iOS,Đi đâu cũng có quảng cáo gắn link shopee? Khó chịu vcl tràn cả fb r giờ cứ đăng bài là thấy có link shopee🙂,Commercial,Promotions
Google Play,App cùi bắp xin số giao hàng khu vực ko cho cứ giấu giếm làm quái gì thế qua Lazada mà học hỏi kìa người ta in luôn số đt shiper giao luôn khỏi tìm đâu cả,Others,Cannot defined
HC search,2211140383hj3nw,Others,Cannot defined
Google Play,Quảng cáo nhiều quá (nhất là mấy web ☻) nên cho 1*,Commercial,Promotions
Google Play,App tồi tệ nhất chưa từng thấy,Others,Cannot defined
Non Owned,"❤️ BẢNG TIN SỰ KIỆN SHOPEE 3/9 ❤️ 🌱 Tương tác bài, nhận quà tặng Shopee tại: https://shope.ee/6pOJC8eQGu  1. Flash Sale đồng giá 1k: 👉 https://shope.ee/9zLKxz1EK8 2. Thử thách shopee thường :  👉 https://shope.ee/9UP4N5SzSr 3. Hộp quà thần kì: 👉 https://shope.ee/7exQBk8h8a 4. Voucher may mắn (Giảm 500k từ 0đ) 👉 https://shope.ee/4fJocGoF8a 5. Lấy mã giới thiệu bạn mới (REF-BUICJ5) 👉 https://shope.ee/1L3MeAQrI1 6. Tổng hợp game săn xu: https://shope.ee/30BadFt24e - Bắn bóng: https://shope.ee/2AcTdkZk4f - Game thú cưng: https://shope.ee/3V7rEEC7cm - Số gì đây: https://shope.ee/3V7rEEC7cm - Game Đập kẹo: https://shope.ee/1VMmqbEC1p - Nông trại trồng cây Shopee: https://shope.ee/ArPGAenL6",Commercial,Shopee Programs
Google Play,Ủa tự nhiên thoát tài khoản Shopee của mình trong khi mình vẫn đang dùng bình thường vậy ạ,Feature,App performance
HC search,ko đăng nhập được,Commercial,Shopee Programs
iOS,không nên dùng👍,Others,Cannot defined
Google Play,Vô luôn trang VayTotNhat vay 0% nha,Others,Cannot defined
Google Play,I argree with users who rated 1 star.,Others,Cannot defined
Google Play,"Đừng có mà xóa đánh giá của người khác :) app xài chậm, hay lỗi rồi còn hay tự ý khóa tài khoản không lí do.",Feature,Review & Rating
Google Play,"Cập nhật chi còn thua lúc đầu, lắc hoài , lỗi tùm lum , mỗi lần đặt hàng phát chán",Feature,App performance
Non Owned,"🧧SALE HẾT ĐÓN TẾT - chỉ từ 99K .   ✅Sale đồng giá 99K 1 số sản phẩm  lẻ size, hàng trưng bày.  ✅Giảm 10% tất cả các sản phẩm mới còn lại.  Áp dụng từ 5/1 đến 8/1   #summertrip #dulichvietnam #bien #travel #vacation #nagashoes #dulich #giaycuoi #giaycodau #giaydexuong #giaycaogot #giaybupbe #giaysandal #trip #summertrip #travel #vacation #nagashoes #dulich  ⏰ Đơn hàng Online sẽ được xử lý NHANH NHẤT khi đặt qua website www.nagashoes.com 💰Link naga trên shopee : https://shope.ee/99pYBCu956 ❤️Link tiktok shop Nagashoes: https://www.tiktok.com/@nagashoes.sg?lang=en 💰Link nagashoes trên Lazada: https://s.lazada.vn/l.WGgC  🛒Cửa hàng :  🌵CN mới: 165 Nguyễn Gia Trí, P.25, Quận Bình Thạnh  🌵Nagashoes Flagshipstore: 95 Trần Quang Diệu, P.14, Quận 3  🌵 Hotline: 0766649635 ⏰ GIờ mở cửa : 10AM – 9PM 🌵 Instagram: Nagashoes.sg",Others,Cannot defined
Google Play,áp dụng mã ko mua hàng đc bị lỗi rồi,Feature,Apply Voucher
Google Play,Khá ổn so với suy nghĩ ban đầu của tôi. Nên tải.,Others,Cannot defined
Google Play,Con bo,Others,Cannot defined
Google Play,Tốt lắm nha 😊,Others,Cannot defined
Google Play,"Mất acc ròi , mấy đơn hàng ko biết giải quyết sao",Shopee account,Banned/blocked
Non Owned,"Công Thương qua góc nhìn báo chí ngày 28/5: Phát triển ngành công nghiệp sữa xanh, bền vững",Others,Cannot defined
Google Play,Cập nhập xong không vào đuocc trời oi Mong nhà ph khắc phục chứ như v chắc apo sập quá 🙏,Feature,App performance
Non Owned,"🧧SALE HẾT ĐÓN TẾT - chỉ từ 99K .   ✅Sale đồng giá 99K 1 số sản phẩm  lẻ size, hàng trưng bày.  ✅Giảm 10% tất cả các sản phẩm mới còn lại.  Áp dụng từ 5/1 đến 8/1   #summertrip #dulichvietnam #bien #travel #vacation #nagashoes #dulich #giaycuoi #giaycodau #giaydexuong #giaycaogot #giaybupbe #giaysandal #trip #summertrip #travel #vacation #nagashoes #dulich  ⏰ Đơn hàng Online sẽ được xử lý NHANH NHẤT khi đặt qua website www.nagashoes.com 💰Link naga trên shopee : https://shope.ee/99pYBCu956 ❤️Link tiktok shop Nagashoes: https://www.tiktok.com/@nagashoes.sg?lang=en 💰Link nagashoes trên Lazada: https://s.lazada.vn/l.WGgC  🛒Cửa hàng :  🌵CN mới: 165 Nguyễn Gia Trí, P.25, Quận Bình Thạnh  🌵Nagashoes Flagshipstore: 95 Trần Quang Diệu, P.14, Quận 3  🌵 Hotline: 0766649635 ⏰ GIờ mở cửa : 10AM – 9PM 🌵 Instagram: Nagashoes.sg",Commercial,Promotions
Google Play,Lag. Thuờng xuyên bị đơ,Feature,App performance
Non Owned,Đơn hàng chưa giao mà biết là bị bo..o.m luôn.. bên shop tự hủy đc phải k m.n chứ giao mà bị boom thì cũng vậy phải k m.n?,Others,Seller
Non Owned,https://shopee.vn/product/82468188/6683317254?smtt=0.82469665-1653918626.9,Commercial,Items/price
Google Play,Không thể tải đc,Feature,App performance
Non Owned,cho em hỏi bưu cục này ở đâu vậy ạ? không nhận được điện thoại của shipper mà tự báo không liên lạc được???,Delivery,Driver
Non Owned,..❗️ GÓC THANH LÝ ❗️#Miễn_Phí_Ship Tính ra rẻ hơn cả mua #Shopee Mong 1 lần đc check ib mỏi tay 😆😆😆   Em chuyển cửa hàng nên dọn lại có thừa vài chục tấm nệm xuất nhật này.    -1m2x2m -1m4x2m -1m6x2m  -1m8x2m -2x2m2 . Dày 7-8 phân Nhưng vì còn ít nên topic này em bán thanh lý giá rẻ ạ. Em #freeship luôn ạ  Mọi ng ib em nha  Ship cod nhận hàng được kiểm tra thoải mái.  Miễn ship toàn quốc. Nên đừng bom tội nghiệp em nha 🥰,Others,Cannot defined
Google Play,Cứ báo lỗi sản phẩm không tồn tại Tìm sản phẩm thì không ra Load sản phẩm không được trong khi mạng rất ổn định Mong khắc phục sớm🥰,Feature,Search & Recommendations
Google Play,Mình đặt hàng mà ko thấy nhân đơn hàng hệ thống quá kém.,Buyer complained seller,Customer service (didn't respond/impolite)
Google Play,"Shopee làm function xi da, perfomance chậm.",Feature,App performance
Owned,"**<MINIGAME> ĐỐ MẸ KỂ ĐẶC ĐIỂM NỔI BẬT - RINH QUÀ THẬT CHẤT CÙNG NAN OPTIPRO 4 **  Tham gia ngay tại [https://shopee.vn/nestlenutritionvn](https://shopee.vn/nestlenutritionvn)  **------**  👨‍👩‍👦 Ba mẹ ơi, gió đưa cành trúc la đà, rinh quà cho bé nhờ chơi game hay! 👇  👨‍👩‍👦 Ba mẹ thông thái chắc chắn biết NAN OPTIPRO 4 - sản phẩm dinh dưỡng được nhập khẩu chính hãng bởi Nestlé Việt Nam có nhiều đặc điểm nổi bật mang đến những lợi ích tuyệt vời cho trẻ về đề kháng và tiêu hóa, giúp trẻ phát triển khỏe mạnh trọn tiềm năng.   👨‍👩‍👦 Vậy đâu là đặc điểm mà ba mẹ ấn tượng và nhớ nhất khi nhắc đến sản phẩm?   .  **CÁCH THỨC THAM GIA** * ✅ Bước 1: Thích bài viết này * ✅ Bước 2: Bình luận một đặc điểm nổi bật bất kỳ của NAN OPTIPRO 4 được nhập khẩu chính hãng bởi Nestlé Việt Nam. * ✅ Bước 3: Đừng quên username + Tag 1 người bạn vào bình luận để cùng tham gia  Gợi ý sản phẩm: https://shopee.vn/mua-nan-optipro4-1605  .  **💝 GIẢI THƯỞNG** * 1️⃣0️⃣ Phần quà dành tặng cho 10 bố mẹ thực hiện đầy đủ các bước, kể ra được đặc điểm nổi bật của sản phẩm và may mắn nhất. Mỗi phần quà là 01 Bộ mền gối Trâu Xinh cho bé.  .  ⚠️ LƯU Ý:  - Thời gian tham gia: Từ 16/05 đến 22/05/2022  - Quy định chung: https://shopee.vn/quy-dinh-chung-minigame   .  👉 Quà xinh đang chờ mẹ rinh về cho bé, đừng bỏ lỡ - Tham gia ngay mẹ nhé!  __________________________  🎉 SHOPEE NGÀY 15 SALE ĐỒNG GIÁ - ĐỒNG GIÁ 1K 🎉  (Từ 8 - 15.5)  ▶️ https://shopee.vn/15-5-sale-dong-gia-1K      Đừng bỏ lỡ ngày 15.5 Sale Đồng Giá cùng ưu đãi khủng:  🎁 +15 mã Freeship  🎁 Đồng giá 1K   🎁 Voucher giảm 15%      #ShopeeNgay15DongGia #ShopeeDongGia1K",Commercial,Shopee Programs
Non Owned,‼️ POST CHÉO TƯỚI CÂY NGÀY 30.12 ‼️ Hoặc đăng không cần duyệt tại nhóm GIÚP TƯỚI CÂY SHOPEE . MN hạn chế đăng bài ở group này nha 😘😘,Commercial,Games/Minigames
Google Play,vô mà kêu lỗi bị out là sao?,Feature,App performance
Non Owned,"[https://shopee.vn/jocastore.vn](https://shopee.vn/jocastore.vn?fbclid=IwAR3n9GNyqDB4g4IqXeV_veJnfxtbpQFVr9nRRnyC5pwnV7rEvN_cULb4SiM)  Follow chéo shopee, hứa trả đủ khi có thông báo  E cảm ơn!",Others,Cannot defined
Non Owned,"1001 Chuyện Traffic ngoại sàn cùng MC Đức Anh và Khách mời Long Sơn - Chủ shop SONDA Garden - Traffic ngoại sàn là gì? lợi ích đối với Shopee - Các loại traffic ngoại sàn: Website cá nhân, Facebook (Profile, Fanpage, Group), Youtube, Zalo, Email, backlink trên diễn đàn, Tiktok - Ưu và nhược điểm của các loại traffic - Các lưu ý về traffic ngoại sàn mà shop cần lưu ý #Shopee #BanhangvoiShopee",Others,Seller
Google Play,"mua mà cứ bắt thanh toán bằng shoppe pay rồi là thẻ tín dụng , k được thanh toán tiền mặt ạ ??",Payment,Other payment methods
Non Owned,"DEAL GIÁ SỐC LẤY LƯỢT BÁN + ĐÁNH GIÁ  Shop mình ra mắt BST mới nên cần lượt mua và phản hồi:  **DEAL1: HOÀN 62% - Áo Nỉ Cotton Mùa Thu Đông Cho Bé Trai Bé Gái Từ 10-45kg Tuổi Họa Tiết Phi Hành Gia JU (A35)**  Chất vải sử dụng hoàn toàn là nỉ cotton cao cấp, mềm mại, thấm hút tốt và co giãn, tạo cho bé cảm giác thoải mái, dễ vận động nhất. Hình in công nghệ cao cấp, hiện đại nhất, giúp kéo dài tuổi thọ hình in, không bị dính, nứt, bong tróc ngay cả khi giặt bằng máy. Họa tiết phi hành gia JU kết hợp các màu pastel hot trend thu đông năm nay như hồng, xanh lá, xám, có thể phối đa dạng với các loại quần thể thao, quần jeans và phụ kiện  **Giá Shopee: 229k**  **Giá Nghiện: 89k**  **SL deal: 5**  **DEAL2: HOÀN 64% - Quần Nỉ Bé Trai, Bé Gái Chất Liệu Cao Cấp, Mềm Mịn, Ấm Áp Kiểu Dáng Thời Trang Jump Up (Q11)**  Quần thun cotton đảm bảo thấm hút mồ hôi, cho các con vận động không lo bí. Bề mặt vải mịn, không xù long ngay cả khi trải qua thời gian dài sử dụng. Họa tiết được in mực in cao cấp, không bong tróc, vỡ hình.  **Giá Shopee: 219k**  **Giá Nghiện: 79k**  **SL deal: 5**  Inbox cho mình để lấy Link mua Hoàn tiền qua Tài khoản ngân hàng  Các bước nhận deal hoàn tiền:  B1: Inbox để nhận Deal  B2: Đặt hàng, Follow shop, thả tim sản phẩm. GỬI ẢNH đơn hàng cho shop  B3: Nhận hàng, đánh giá SP trên Shopee kèm 2-4 ảnh và 1 video ngắn, đánh giá có tâm giúp Shop.  B3: Nhận hàng, Inbox cho mình gửi ảnh chụp đánh giá và mình hoàn tiền (hoàn tiền trong vòng 24h)  ***  KHÔNG được sử dụng mã GIẢM GIÁ của Shop nhé. Tuyệt đối KHÔNG chat hay nhắn tin qua SHOPEE",Others,Cannot defined
Google Play,"Bên shoppee làm việc rất vớ vẫn, sinh ra app sàn thương mại điện tử để người dùng đặt, người dùng đặt thì báo hành vi bất thường, phản hồi email hỏi lý do thì không đưa ra được bằng chứng giải thích trong khi shoppee chỉ đc đk bằng 1 số điện thoại, đặt hàng lúc nào cx để thanh toán tiền mặt, mã voucher thì shoppee tự đưa ưu đãi, tôi làm gì mà bảo lợi dụng vs k lợi dụng. Nếu đúng thì đưa ra bằng chứng đi chứ, k đưa ra đc rồi không giải quyết. Hãm, làm việc k rõ ràng, không chuyên nghiệp",Services,Contact Agent
Google Play,Như cc chuyên gia lag sản vl,Feature,App performance
Non Owned,"Nay đơn trong sàn cho kiểm rồi mấy ông ạ, ko biết đơn tăng được mấy k đây 🤣🤣🤣🤣",Services,Services Others
Google Play,Không đăng nhập được bằng fb tệ👍,Shopee account,Sign up/Log in
Non Owned,Mã 500K toàn sàn Shopee cho ai cần nè » https://shope.ee/10QzJtpqQi,Commercial,Promotions
Google Play,Tự hủy đơn của khách,Order/Item,Order cancelled
Google Play,"Mệ toàn bọn lừa đảo trên shopee ko à trên gian hàng shoppe đăng rùi mình đặt hàng 3mon lúc nhận mình ko có nhà,mình lại nhờ người lấy và chuyển cho a.shipo về bóc hàng kiểm tra bên ngoài vẫn đầy đủ tem ghi 3mon bên trong chỉ duy nhất có 1 món đồ.",Delivery,Damaged/missing item
Google Play,Mã giảm giá ko dùng đc,Feature,Apply Voucher
Google Play,Chơi gam rất là lác,Feature,App performance
Google Play,Như đb,Others,Cannot defined
Google Play,Sửa lỗi đi vào app phải 2-5p sau mới loading được (quickly fix app connection very slow),Feature,App performance
Non Owned,RỒNG ĐỎ ĐỌ SỨC QUÁN LONG XƯA,Others,Cannot defined
Google Play,Chưa nhận được hàng,Delivery,Delivery time
Non Owned,Giao hàng cho các bạn học sinh khổ vậy đấy.  Phải chờ các bạn đi học về mới giao hàng được,Others,Cannot defined
Owned,"#ThanhvientichcucT9 Bớ làng nước ơi Shopee Live có 1 chiếc host chuyên gia ""nài nỉ"" các user thả tym cho ổng, những màn cosplay ta nói dị- độc- lạ- xấu- ghê- cute,...kiểu nào ổng cũng ""cân"" hết, xem ổng mà không nhịn được cười😂. Host gì mà chiều users ghê luôn á, góp ý luôn lắng nghe và rút kinh nghiệm nếu ổng có nói sai hay làm sai điều gì đó.🤗",Others,Cannot defined
Google Play,Lỗi ạ các mục vào ko dc,Feature,App performance
Google Play,"App bấm mua hàng thì luôn lag, nhân viênCSKH trả lời rất là khinh thường user, mua hàng đa số đều xử theo lối vô trách nhiệm cho cả bên bán lẫn bên mua",Services,Contact Agent
Google Play,Tôi ấn vào chỗ tìm kiếm nhưng ko ấn đc,Feature,Search & Recommendations
Google Play,Càng ngày càng tệ,Others,Cannot defined
Google Play,Shopee lang quá hay văng,Feature,App performance
Non Owned,"Em chào mng ạ Em có 1 đơn ở HN vẫn đang xuất kho, chưa về đến HN Soc có sợ là bị thất lạc đơn không ạ ? Em còn 2 đơn qte mà giờ vẫn hiện đang thông quan thì còn đợi tầm bao nhiêu ngày nữa ạ ? Mng giải đáp giúp em với ạ, em cảm ơn ạ !",Delivery,Delivery status/info
Non Owned,Dấu hiệu nhận biết hành vi lừa đảo tuyển dụng qua mạng - Đại Biểu Nhân Dân,Others,Scam
Google Play,Đcm vừa vừa th mua hàng bth xg đặt bnh đơn ăn tết xg hủy của ngta xg cấm tài khoản ko cho đặt hàng ủa bìu ngu à xg dùng tài khoản khác cx đ đc xg số đth cx k đc bị lsao thế???????,Shopee account,Banned/blocked
Owned,Mọi ơi cho em hỏi e có đặt một đơn thanh toán bằng shopee pay nhưng đặt nhầm địa chỉ. E đang yêu cầu hủy đơn nhưng shop chưa chấp nhận. Nếu đơn hàng giao tới mà e không nhận được hoàn đơn đấy lại thì có được hoàn tiền lại vào ví không ạ?😰,Order/Item,Order cancelled
Google Play,Lỗi m04 ạ. Mở đi mà không là tui lập vài cái acc đánh giá 1 sao đấy,Shopee account,Banned/blocked
HC search,z88,Others,Cannot defined
